Title,Authors,Topics,Abstract,Code,Dataset,PDF,Paper Page
3D CVT-GAN: A 3D Convolutional Vision Transformer-GAN for PET Reconstruction,"Zeng, Pinxian;Zhou, Luping;Zu, Chen;Zeng, Xinyi;Jiao, Zhengyang;Wu, Xi;Zhou, Jiliu;Shen, Dinggang;Wang, Yan",Image Reconstruction; Modalities - PET/SPECT; Organ - Brain,"To obtain high-quality positron emission tomography (PET) scans while reducing potential radiation hazards brought to patients, various generative adversarial network (GAN)-based methods have been developed to reconstruct high-quality standard-dose PET (SPET) images from low-dose PET (LPET) images. However, due to the intrinsic locality of convolution operator, these methods have failed to explore global contexts of the entire 3D PET image. In this paper, we propose a novel 3D convolutional vision transformer GAN framework, named 3D CVT-GAN, for SPET reconstruction using LPET images. Specifically, we innovatively design a generator with a hierarchical structure that uses multiple 3D CVT blocks as the encoder for feature extraction and multiple 3D transposed CVT (TCVT) blocks as the decoder for SPET restoration, capturing both local spatial features and global contexts from different network layers. Different from the vanilla 2D vision transformer that uses linear embedding and projection, our 3D CVT and TCVT blocks employ 3D convolutional embedding and projection instead, allowing the model to overcome semantic ambiguity problem caused by the attention mechanism and further preserve spatial details. In addition, residual learning and a patch-based discriminator embedded with 3D CVT blocks are added inside and after the generator, facilitating the training process while mining more discriminative feature representations. Validation on the clinical PET datasets shows that our proposed 3D CVT-GAN outperforms the state-of-the-art methods qualitatively and quantitatively with minimal parameters.",https://github.com/Aru321/CVTGAN,,https://link.springer.com/chapter/10.1007/978-3-031-16446-0_49,https://conferences.miccai.org/2022/papers/001-Paper1347.html
3D Global Fourier Network for Alzheimer’s Disease Diagnosis using Structural MRI,"Zhang, Shengjie;Chen, Xiang;Ren, Bohan;Yang, Haibo;Yu, Ziqi;Zhang, Xiao-Yong;Zhou, Yuan",Computer Aided Diagnosis; Modalities - MRI; Outcome/disease prediction,"Deep learning models, such as convolutional neural networks and self-attention mechanisms, have been shown to be effective in computer-aided diagnosis (CAD) of Alzheimer’s disease (AD) using structural magnetic resonance imaging (sMRI). Most of them use spatial convolutional filters to learn local information from the images, ignoring frequency domain information. In this paper, we propose a 3D Global Fourier Network (GF-Net) to utilize global frequency information that also captures long-range dependency in the spatial domain. The GF-Net contains three primary components: a 3D discrete Fourier transform, an element-wise multiplication between frequency domain features and learnable global filters, and a 3D inverse Fourier transform. The GF-Net is trained by a multi-instance learning strategy to identify discriminative features. Extensive experiment on two independent datasets (ADNI and AIBL) have demonstrated that our proposed GF-Net outperforms several state-of-the-art methods in terms of accuracy and other metrics, and can also identify pathological regions of AD. The code is released at https://github.com/qbmizsj/GFNet.",https://github.com/qbmizsj/GFNet,https://adni.loni.usc.edu,https://link.springer.com/chapter/10.1007/978-3-031-16431-6_4,https://conferences.miccai.org/2022/papers/002-Paper1233.html
4D-OR: Semantic Scene Graphs for OR Domain Modeling,"Özsoy, Ege;Örnek, Evin Pınar;Eck, Ulrich;Czempiel, Tobias;Tombari, Federico;Navab, Nassir",Surgical Scene Understanding; Surgical Skill and Work Flow Analysis,"Surgical procedures are conducted in highly complex operating rooms (OR), comprising different actors, devices, and interactions. To date, only medically trained human experts are capable of understanding all the links and interactions in such a demanding environment. This paper aims to bring the community one step closer to automated, holistic and semantic understanding and modeling of OR domain. Towards this goal, for the first time, we propose using semantic scene graphs (SSG) to describe and summarize the surgical scene. The nodes of the scene graphs represent different actors and objects in the room, such as medical staff, patients, and medical equipment, whereas edges are the relationships between them. To validate the possibilities of the proposed representation, we create the first publicly available 4D surgical SSG dataset, 4D-OR, containing ten simulated total knee replacement surgeries recorded with six RGB-D sensors in a realistic OR simulation center. 4D-OR includes 6734 frames and is richly annotated with SSGs, human and object poses, and clinical roles. We propose an end-to-end neural network-based SSG generation pipeline, with a rate of success of 0.75 macro F1, indeed being able to infer semantic reasoning in the OR. We further demonstrate the representation power of our scene graphs by using it for the problem of clinical role prediction, where we achieve 0.85 macro F1. The code and dataset will be made available upon acceptance.",https://github.com/egeozsoy/4D-OR,https://github.com/egeozsoy/4D-OR,https://link.springer.com/chapter/10.1007/978-3-031-16449-1_45,https://conferences.miccai.org/2022/papers/003-Paper1512.html
A Comprehensive Study of Modern Architectures and Regularization Approaches on CheXpert5000,"Ihler, Sontje;Kuhnke, Felix;Spindeldreier, Svenja",Computer Aided Diagnosis; Machine Learning - Data efficient Learning; Machine Learning - Transfer learning; Modalities - other; Organ - Lung,"Computer aided diagnosis (CAD) has gained an increased amount of attention in the general research community over the last years as an example of a typical limited data application - with experiments on labeled 100k-200k datasets. Although these datasets are still small compared to natural image datasets like ImageNet1k, ImageNet21k and JFT, they are large for annotated medical datasets, where 1k-10k labeled samples are much more common. There is no baseline on which methods to build on in the low data regime. In this work we bridge this gap by providing an extensive study on medical image classification with limited annotations (5k). We present a study of modern architectures applied to a fixed low data regime of 5000 images on the CheXpert dataset. Conclusively we find that models pretrained on ImageNet21k achieve a higher AUC and larger models require less training steps. All models are quite well calibrated even though we only fine-tuned on 5000 training samples. All ‘modern’ architectures have higher AUC than ResNet50. Regularization of Big Transfer Models with MixUp or Mean Teacher improves calibration, MixUp also improves accuracy. Vision Transformer achieve comparable or on par results to Big Transfer Models.",https://gitlab.uni-hannover.de/sontje.ihler/chexpert5000,https://stanfordmlgroup.github.io/competitions/chexpert/,https://link.springer.com/chapter/10.1007/978-3-031-16431-6_62,https://conferences.miccai.org/2022/papers/004-Paper2655.html
A Deep-Discrete Learning Framework for Spherical Surface Registration,"Suliman, Mohamed A.;Williams, Logan Z. J.;Fawaz, Abdulah;Robinson, Emma C.",Image Registration; Machine Learning - Semi-/Weakly-/Un-/Self-supervised representation learning,"Cortical surface registration is a fundamental tool for neuroimaging analysis that has been shown to improve the alignment of functional regions relative to volumetric approaches. Classically, image registration is performed by optimizing a complex objective similarity function, leading to long run times. This contributes to a convention for aligning all data to a global average reference frame that poorly reflects the underlying cortical heterogeneity. In this paper, we propose a novel unsupervised learning-based framework that converts registration to a multi-label classification problem, where each point in a low-resolution control grid deforms to one of fixed, finite number of endpoints. This is learned using a spherical geometric deep learning architecture, in an end-to-end unsupervised way, with regularization imposed using a deep Conditional Random Field (CRF). Experiments show that our proposed framework performs competitively, in terms of similarity and areal distortion, relative to the most popular classical surface registration algorithms and generates smoother deformations than other learning-based surface registration methods, even in subjects with atypical cortical morphology.",https://github.com/mohamedasuliman/DDR/,https://db.humanconnectome.org/,https://link.springer.com/chapter/10.1007/978-3-031-16446-0_12,https://conferences.miccai.org/2022/papers/005-Paper1525.html
A Geometry-Constrainted Deformable Attention Network for Aortic Segmentation,"Lin, Weiyuan;Liu, Hui;Gu, Lin;Gao, Zhifan",Image Segmentation; Modalities - CT; Organ - Vessel,"Morphological segmentation of the aorta is significant for aortic diagnosis, intervention, and prognosis. However, it is difficult for existing methods to achieve the continuity of spatial information and the integrity of morphological extraction, due to the gradually variable and irregular geometry of the aorta in the long-sequence computed tomography (CT). In this paper, we propose a geometry-constrained deformable attention network (GDAN) to learn the aortic common features through interaction with context information of the anatomical space. The deformable attention extractor in our model can adaptively adjust the position and the size of patches to match different shapes of the aorta. The self-attention mechanism is also helpful to explore the long-range dependency in CT sequences and capture more semantic features. The geometry-constrainted guider simplifies the morphological representation with a high spatial similarity. The guider imposes strong constraints on geometric boundaries, which changes the sensitivity of gradually variable aortic morphology in the network. Guider can assist the correct extraction of semantic features combining deformable attention extractor. In 204 cases of aortic CT dataset, including 42 normal aorta, 45 coarctation of the aorta, and 107 aortic dissection, our method obtained a mean dice similarity coefficient of 0.943 on the test set (20%), outperforming 6 state-of-the-art methods about aortic segmentation.",,,https://link.springer.com/chapter/10.1007/978-3-031-16443-9_28,https://conferences.miccai.org/2022/papers/006-Paper1155.html
A Hybrid Propagation Network for Interactive Volumetric Image Segmentation,"Shi, Luyue;Zhang, Xuanye;Liu, Yunbi;Han, Xiaoguang",Image Segmentation; Modalities - CT,"Interactive segmentation is of great importance in clinical practice for correcting and refining the automated segmentation by involving additional user hints, e.g., scribbles and clicks. Currently, interactive segmentation methods for 2D medical images are well studied, while seldom works are conducted on 3D medical volumetric data. Given a 3D volumetric image, the user interaction can only be performed on a few slices, thus the key issue is how to propagate the information over the entire volume for spatial-consistent segmentation. In this paper, we propose a novel hybrid propagation network for interactive segmentation of 3D medical images. Our proposed method consists of two key designs, including a slice propagation network (denoted as SPN) for transferring user hints to adjacent slices to guide the segmentation slice-by-slice and a volume propagation network (denoted as VPN) for propagating user hints over the entire volume in a global manner and providing spatial-consistent features to boost slice segmentation. Specifically, as for SPN, we adopt a memory-augmented network, which utilizes the information of segmented slices (memory slices) to propagate interaction information. To use interaction information propagated by VPN, a feature-enhanced memory module is designed, in which the volume segmentation information from the latent space of VPN is introduced into the memory module of SPN. In such a way, the interactive segmentation can leverage both advantages of volume and slice propagation, thus improving the volume segmentation results. We perform experiments on two commonly-used 3D medical datasets, with the experimental results indicating that our method outperforms the state-of-the-art methods. Our code is available at https://github.com/luyueshi/Hybrid-Propagation.",https://github.com/luyueshi/Hybrid-Propagation,http://medicaldecathlon.com/;https://kits19.grand-challenge.org/,https://link.springer.com/chapter/10.1007/978-3-031-16440-8_64,https://conferences.miccai.org/2022/papers/007-Paper1247.html
A Learnable Variational Model for Joint Multimodal MRI Reconstruction and Synthesis,"Bian, Wanyu;Zhang, Qingchao;Ye, Xiaojing;Chen, Yunmei",Image Reconstruction; Machine Learning - Other; Organ - Brain,"Generating multi-contrasts/modal MRI of the same anatomy enriches diagnostic information but is limited in practice due to excessive data acquisition time. In this paper, we propose a novel deep-learning model for joint reconstruction and synthesis of multi-modal MRI using incomplete k-space data of several source modalities as inputs. The output of our model includes reconstructed images of the source modalities and high-quality image synthesized in the target modality. Our proposed model is formulated as a variational problem that leverages several learnable modality-specific feature extractors and a multimodal synthesis module. We propose a learnable optimization algorithm to solve this model, which induces a multi-phase network whose parameters can be trained using multi-modal MRI data. Moreover, a bilevel-optimization framework is employed for robust parameter training. We demonstrate the effectiveness of our approach using extensive numerical experiments.",,https://www.med.upenn.edu/sbia/brats2018/data.html,https://link.springer.com/chapter/10.1007/978-3-031-16446-0_34,https://conferences.miccai.org/2022/papers/008-Paper0063.html
A Medical Semantic-Assisted Transformer for Radiographic Report Generation,"Wang, Zhanyu;Tang, Mingkang;Wang, Lei;Li, Xiu;Zhou, Luping",Computer Aided Diagnosis; Modalities - Text (clinical/radiology reports),"Automated radiographic report generation is a challenging cross-domain task that aims to automatically generate accurate and semantic-coherence reports to describe medical images. Despite the recent progress in this field, there are still many challenges at least in the following aspects. First, radiographic images are very similar to each other, and thus it is difficult to capture the fine-grained visual differences using CNN as the visual feature extractor like many existing methods. Further, semantic information has been widely applied to boost the performance of generation tasks (e.g. image captioning), but existing methods often fail to provide effective medical semantic features. Toward solving those problems, in this paper, we propose a memory-augmented sparse attention block utilizing bilinear pooling to capture the higher-order interactions between the input fine-grained image features while producing sparse attention. Moreover, we introduce a novel Medical Concepts Generation Network (MCGN) to predict fine-grained semantic concepts and incorporate them into the report generation process as guidance. Our proposed method shows promising performance on the recently released largest benchmark MIMIC-CXR. It outperforms multiple state-of-the-art methods in image captioning and medical report generation. Our code is available at https://github.com/zwan0839/MSAT.",https://github.com/zwan0839/MSAT,https://drive.google.com/file/d/1DS6NYirOXQf8qYieSVMvqNwuOlgAbM_E/view,https://link.springer.com/chapter/10.1007/978-3-031-16437-8_63,https://conferences.miccai.org/2022/papers/009-Paper1374.html
A Multi-task Network with Weight Decay Skip Connection Training for Anomaly Detection in Retinal Fundus Images,"Zhang, Wentian;Sun, Xu;Li, Yuexiang;Liu, Haozhe;He, Nanjun;Liu, Feng;Zheng, Yefeng",Machine Learning - Semi-/Weakly-/Un-/Self-supervised representation learning; Image Reconstruction; Organ - Eye; Outcome/disease prediction,"By introducing the skip connection to bridge the semantic gap between encoder and decoder, U-shape architecture has been proven to be effective for recovering fine-grained details in dense prediction tasks. However, such a mechanism cannot be directly applied to reconstruction-based anomaly detection, since the skip connection might lead the model overfitting to an identity mapping between the input and output. In this paper, we propose a weight decay training strategy to progressively mute the skip connections of U-Net, which effectively adapts U-shape network to anomaly detection task. Thus, we are able to leverage the modeling capabilities of U-Net architecture, and meanwhile prevent the trained model from bypassing low-level features. Furthermore, we formulate an auxiliary task, namely histograms of oriented gradients (HOG) prediction, to encourage the framework to deeply exploit contextual information from fundus images. The HOG feature descriptors with three different resolutions are adopted as the auxiliary supervision signals. The multi-task framework is dedicated to enforce the model to aggregate shared significant commonalities and eventually improve the performance of anomaly detection. Experimental results on Indian Diabetic Retinopathy image Dataset (IDRiD) and Automatic Detection challenge on Age-related Macular degeneration dataset (ADAM) validate the superiority of our method for detecting abnormalities in retinal fundus images. The source code is available at https://github.com/WentianZhang-ML/WDMT-Net.",https://github.com/WentianZhang-ML/WDMT-Net,,https://link.springer.com/chapter/10.1007/978-3-031-16434-7_63,https://conferences.miccai.org/2022/papers/010-Paper1785.html
