Title,Authors,Topics,Abstract,Code,Dataset,PDF,Paper Page
2.5D Thermometry Maps for MRI-guided Tumor Ablation,"Alpers, Julian;Reimert, Daniel L.;Rötzer, Maximilian;Gerlach, Thomas;Gutberlet, Marcel;Wacker, Frank;Hensen, Bennet;Hansen, Christian",Image-Guided Interventions and Surgery; Image Reconstruction; Modalities - MRI; Outcome/disease prediction,"Fast and reliable monitoring of volumetric heat distribution during MRI-guided tumor ablation is an urgent clinical need. In this work, we introduce a method for generating 2.5D thermometry maps from uniformly distributed 2D MRI phase images rotated around the applicator’s main axis. The images can be fetched directly from the MR device, reducing the delay between image acquisition and visualization. For reconstruction, we use a weighted interpolation on a cylindric coordinate representation to calculate the heat value of voxels in a region of interest. A pilot study on 13 ex vivo bio protein phantoms with flexible tubes to simulate a heat sink effect was conducted to evaluate our method. After thermal ablation, we compared the measured coagulation zone extracted from the post-treatment MR data set with the output of the 2.5D thermometry map. The results show a mean Dice score of 0.75+-0.07, a sensitivity of 0.77+-0.03, and a reconstruction time within 18.02ms+-5.91ms. Future steps should address improving temporal resolution and accuracy, e.g., incorporating advanced bioheat transfer simulations.",https://github.com/jalpers/2.5DThermometryReconstruction,http://open-science.ub.ovgu.de/xmlui/handle/684882692/89,https://doi.org/10.1007/978-3-030-87202-1_30,https://miccai2021.org/openaccess/paperlinks/2021/09/01/001-Paper1891.html
2D Histology Meets 3D Topology: Cytoarchitectonic Brain Mapping with Graph Neural Networks,"Schiffer, Christian;Amunts, Katrin;Harmeling, Stefan;Dickscheid, Timo",Modalities - Microscopy; Image Segmentation,"Cytoarchitecture describes the spatial organization of neuronal cells in the brain, including their arrangement into layers and columns with respect to cell density, orientation, or presence of certain cell types. It allows to segregate the brain into cortical areas and subcortical nuclei, links structure with connectivity and function, and provides a microstructural reference for human brain atlases. Mapping boundaries between areas requires to scan histological sections at microscopic resolution. While recent high-throughput scanners allow to scan a complete human brain in the order of a year, it is practically impossible to delineate regions at the same pace using the established gold standard method. Researchers have recently addressed cytoarchitectonic mapping of cortical regions with deep neural networks, relying on image patches from individual 2D sections for classification. However, the 3D context, which is needed to disambiguate complex or obliquely cut brain regions, is not taken into account. In this work, we combine 2D histology with 3D topology by reformulating the mapping task as a node classification problem on an approximate 3D midsurface mesh through the isocortex. We extract deep features from cortical patches in 2D histological sections which are descriptive of cytoarchitecture, and assign them to the corresponding nodes on the 3D mesh to construct a large attributed graph. By solving the brain mapping problem on this graph using graph neural networks, we obtain significantly improved classification results. The proposed framework lends itself nicely to integration of additional neuroanatomical priors for mapping.",https://jugit.fz-juelich.de/c.schiffer/miccai2021_2d_histology_meets_3d_topology,,https://doi.org/10.1007/978-3-030-87237-3_38,https://miccai2021.org/openaccess/paperlinks/2021/09/01/002-Paper0547.html
3D Brain Midline Delineation for Hematoma Patients,"Qin, Chenchen;Li, Haoming;Liu, Yixun;Shang, Hong;Pei, Hanqi;Wang, Xiaoning;Chen, Yihao;Chang, Jianbo;Feng, Ming;Wang, Renzhi;Yao, Jianhua",Image Segmentation; Computer Aided Diagnosis; Image-Guided Interventions and Surgery; Modalities - CT; Surgical Planning and Simulation,"Brain midline delineates the boundary between the two cerebral hemispheres of the human brain, which plays a significant role in guiding intracranial hemorrhage surgery. Large midline shift caused by hematomas remains an inherent challenge for delineation. However, most previous methods only handle normal brains and delineate the brain midline on 2D CT images. In this study, we propose a novel hemisphere-segmented framework (HSF) for generating smooth 3D brain midline especially when large hematoma shifts the midline. Our work has four highlights. First, we propose to formulate the brain midline delineation as a 3D hemisphere segmentation task, which recognizes the midline location via enriched anatomical features. Second, we employ a distance-weighted map for midline aware loss. Third, we introduce rectificative learning for the model to handle various head poses. Finally, considering the complexity of hematomas distribution in human brain, we build a classification model to automatically identify the situation when hematoma breaks into brain ventricles and formulate a midline correction strategy to locally adjust the midline according to the location and boundary of hematomas. To our best knowledge, it is the first study focusing on delineating the brain midline on 3D CT images of hematoma patients and handling the situation of ventricle break-in. Through extensive validations on a large in-house dataset, our method outperforms state-of-the-art methods in various evaluation metrics.",,,https://doi.org/10.1007/978-3-030-87240-3_49,https://miccai2021.org/openaccess/paperlinks/2021/09/01/003-Paper1706.html
3D Graph-S2Net: Shape-Aware Self-Ensembling Network for Semi-Supervised Segmentation with Bilateral Graph Convolution,"Huang, Huimin;Zhou, Nan;Lin, Lanfen;Hu, Hongjie;Iwamoto, Yutaro;Han, Xian-Hua;Chen, Yen-Wei;Tong, Ruofeng",Image Segmentation; Machine Learning - Semi-supervised learning,"Semi-supervised learning (SSL) algorithms have attracted much attentions in medical image segmentation due to challenge in acquiring pixel-wise annotations by using unlabeled data. However, most of existing SSLs neglected the geometric shape constraint in object, leading to unsatisfactory boundary and non-smooth of object. In this paper, we propose a shape-aware semi-supervised 3D medical image segmentation network, named 3D Graph-S2Net, which incorporates the flexible shape information and learns duality constraints between semantics and geometrics in the graph domain. Specifically, our method consists of two parts: a multi-task learning network (3D S2Net) and a graph-based cross-task module (3D BGCM). The 3D S2Net improves the existing self-ensembling model (i.e., Mean-Teacher model) by adding a signed distance map (SDM) prediction task, which encodes richer features of object shape and surface. Moreover, the 3D BGCM explores the co-occurrence relations between the semantics segmentation and SDM prediction task, so that the network learns stronger semantic and geometric correspondences from both labeled and unlabeled data. Experimental results on the Atrial Segmentation Challenge confirm that our 3D Graph-S2Net outperforms the state-of-the-arts in semi-supervised segmentation.",,,https://doi.org/10.1007/978-3-030-87196-3_39,https://miccai2021.org/openaccess/paperlinks/2021/09/01/004-Paper0943.html
3D Semantic Mapping from Arthroscopy using Out-of-distribution Pose and Depth and In-distribution Segmentation Training,"Jonmohamadi, Yaqub;Ali, Shahnewaz;Liu, Fengbei;Roberts, Jonathan;Crawford, Ross;Carneiro, Gustavo;Pandey, Ajay K.","Machine Learning - Semi-supervised learning; Machine Learning - Domain adaptation; Surgical Visualization and Mixed, Augmented and Virtual Reality","Minimally invasive surgery (MIS) has many documented advantages, but the surgeon’s limited visual contact with the scene can be problematic. Hence, systems that can help surgeons navigate, such as a method that can produce a 3D semantic map, can compensate for the limitation above. In theory, we can borrow 3D semantic mapping techniques developed for robotics, but this requires finding solutions to the following challenges in MIS: 1) semantic segmentation, 2) depth estimation, and 3) pose estimation. In this paper, we propose the first 3D semantic mapping system from knee arthroscopy that solves the three challenges above. Using out-of-distribution non-human datasets, where pose could be labeled, we jointly train depth+pose estimators using self-supervised and supervised losses. Using an in-distribution human knee dataset, we train a fully-supervised semantic segmentation system to label arthroscopic image pixels into femur, ACL, and meniscus. Taking testing images from human knees, we combine the results from these two systems to automatically create 3D semantic maps of the human knee. The result of this work opens the pathway to the generation of intra-operative 3D semantic mapping, registration with pre-operative data, and robotic-assisted arthroscopy.",,,https://doi.org/10.1007/978-3-030-87196-3_36,https://miccai2021.org/openaccess/paperlinks/2021/09/01/005-Paper0364.html
3D Transformer-GAN for High-quality PET Reconstruction,"Luo, Yanmei;Wang, Yan;Zu, Chen;Zhan, Bo;Wu, Xi;Zhou, Jiliu;Shen, Dinggang;Zhou, Luping",Modalities - PET/SPECT; Clinical applications - Neuroimaging - Brain Development,"To obtain high-quality positron emission tomography (PET) image at low dose, this study proposes an end-to-end 3D generative adversarial network embedded with transformer, namely Transformer-GAN, to reconstruct the standard-dose PET (SPET) image from the corresponding low-dose PET (LPET) image. Specifically, considering the convolutional neural network (CNN) can well describe the local spatial features, while the transformer is good at capturing the long-range semantic information due to its global information extraction ability, our generator network takes advantages of both CNN and transformer, and is designed as an architecture of EncoderCNN-Transformer-DecoderCNN. Particularly, the EncoderCNN aims to extract compact feature representations with rich spatial information by using CNN, while the Transformer targets at capturing the long-range dependencies between the features learned by the EncoderCNN. Finally, the DecoderCNN is responsible for restoring the reconstructed PET image. Moreover, to ensure the similarity of voxel-level intensities as well as the data distributions between the reconstructed image and the real image, we harness both the voxel-wise estimation error and the adversarial loss to train the generator network. Validations on the real human brain PET data show that our proposed method outperforms the state-of-the-art methods in both qualitative and quantitative measures.",,,https://doi.org/10.1007/978-3-030-87231-1_27,https://miccai2021.org/openaccess/paperlinks/2021/09/01/006-Paper1154.html
3D-UCaps: 3D Capsules Unet for Volumetric Image Segmentation,"Nguyen, Tan;Hua, Binh-Son;Le, Ngan",Image Segmentation; Machine Learning - Interpretability / Explainability; Modalities - CT; Modalities - MRI,"Medical image segmentation has been so far achieving promising results with Convolutional Neural Networks (CNNs). However, it is arguable that in traditional CNNs, its pooling layer tends to discard important information such as positions. Moreover, CNNs are sensitive to rotation and affine transformation. Capsule network is a data-efficient network design proposed to overcome such limitations by replacing pooling layers with dynamic routing and convolutional strides, which aims to preserve the part-whole relationships. Capsule network has shown a great performance in image recognition and natural language processing, but applications for medical image segmentation, particularly volumetric image segmentation, has been limited. In this work, we propose 3D-UCaps, a 3D voxel-based Capsule network for medical volumetric image segmentation.We build the concept of capsules into a CNN by designing a network with two pathways: the first pathway is encoded by 3D Capsule blocks,whereas the second pathway is decoded by 3D CNNs blocks. 3D-UCaps,therefore inherits the merits from both Capsule network to preserve the spatial relationship and CNNs to learn visual representation. We conducted experiments on various datasets to demonstrate the robustness of 3D-UCaps including iSeg-2017, LUNA16, Hippocampus, and Cardiac,where our method outperforms previous Capsule networks and 3D-UNets. Our code is available at https://github.com/VinAIResearch/3D-UCaps.",https://github.com/VinAIResearch/3D-UCaps,https://iseg2017.web.unc.edu/download/;https://luna16.grand-challenge.org/Download/;http://medicaldecathlon.com/,https://doi.org/10.1007/978-3-030-87193-2_52,https://miccai2021.org/openaccess/paperlinks/2021/09/01/007-Paper1688.html
4D-CBCT Registration with a FBCT-derived Plug-and-Play Feasibility Regularizer,"Sang, Yudi;Ruan, Dan",Image Registration; Clinical applications - Lung; Modalities - CT,"Deformable registration of phase-resolved lung images is an important procedure to appreciate respiratory motion and enhance image quality. Compared to high-resolution fan-beam CTs (FBCTs), cone-beam CTs (CBCTs) are more readily available for on-table acquisition in companion with treatment. However, CBCT registration is challenging because classic regularization energies in convention methods usually cannot overcome the strong artifacts and the lack of structural details. In this study, we propose to learn an implicit feasibility prior of respiratory motion and incorporate it in a plug-and-play (PnP) fashion into the training of an unsupervised image registration network to improve registration accuracy and robustness to noise and artifacts. In particular, we propose a novel approach to develop a feasibility descriptor from a set of deformation vector fields (DVFs) generated from FBCTs. Subsequently, this FBCT-derived feasibility descriptor was used as a spatially variant regularizer on DVF Jacobian during the unsupervised training for 4D-CBCT registration. In doing so, the higher-quality, higher-confidence information from FBCT is transferred into the much challenging problem of CBCT registration, without explicit FB-CB synthesis. The method was evaluated using manually identified landmarks on real CBCTs and automatically detected landmarks on simulated CBCTs. The method presented good robustness to noise and artifacts and generated physically more feasible DVFs. The target registration errors on the real and simulated data were (1.63+/-0.98) and (2.16+/-1.91) mm, respectively, significantly better than the classic bending energy regularization in both the conventional method in SimpleElastix and the unsupervised network. The average registration time was 0.04 s.",,,https://doi.org/10.1007/978-3-030-87202-1_11,https://miccai2021.org/openaccess/paperlinks/2021/09/01/008-Paper0889.html
4D-Foot: A fully automated pipeline of four-dimensional analysis of the foot bones using bi-plane X-ray video and CT,"Mizoe, Shuntaro;Otake, Yoshito;Miyamoto, Takuma;Soufi, Mazen;Nakao, Satoko;Tanaka, Yasuhito;Sato, Yoshinobu",Image Registration; Clinical applications - Musculoskeletal; Image Segmentation; Modalities - CT; Modalities - other,"We aim to elucidate the mechanism of the foot by an automated measurement of its multiple bone movement using 2D-3D registration of bi-plane x-ray video and a stationary 3D CT. Conventional analyses allowed tracking of only 3 large proximal tarsal bones due to the requirement of manual segmentation and manual initialization of 2D-3D registration. The learning-based 2D-3D registration, on the other hand, has been actively studied and demonstrating a large capture range but the accuracy is inferior to conventional optimization-based methods. We propose a fully automated pipeline using a cost function that seamlessly incorporates the reprojection error at the landmarks in CT and x-ray detected by off-the-shelf CNNs into the conventional image similarity cost, combined with the automated bone segmentation. We experimentally demonstrate that the pipeline allows a robust and accurate 2D-3D registration for tracking of all 13 tarsal bones including the metatarsals at the foot arch which is especially important in the foot biomechanics but has been unmeasurable with previous methods. We evaluated the proposed fully automated pipeline in studies using a bone phantom and real x-ray images of human subjects. The real image study showed the registration error of 0.38 $\pm$ 1.95 mm in translation and 0.38 $\pm$ 1.20 degrees in rotation for the proximal tarsal bones.",https://github.com/YoshitoOtake/4DFoot,,https://doi.org/10.1007/978-3-030-87202-1_18,https://miccai2021.org/openaccess/paperlinks/2021/09/01/009-Paper2286.html
A Coherent Cooperative Learning Framework Based on Transfer Learning for Unsupervised Cross-domain Classification,"Shan, Xinxin;Wen, Ying;Li, Qingli;Lu, Yue;Cai, Haibin",Computer Aided Diagnosis; Clinical applications - Lung; Machine Learning - Domain adaptation,"In the practical application of medical image analysis, due to the different data distributions of source domain and target domain and the lack of the labels of target domain, domain adaptation for unsupervised cross-domain classification attracts widespread attention. However, current methods take knowledge transfer model and classification model as two separate training stages, which inadequately considers and utilizes the intrinsic information interaction between modules. In this paper, we propose a coherent cooperative learning framework based on transfer learning for unsupervised cross-domain classification. The proposed framework is constructed by two classifiers trained by transfer learning, which can respectively classify images of source domain and target domain, and a Wasserstein CycleGAN for image translation and data augmentation. In the coherent process, all modules are updated in turn, and the data is transferred between different modules to realize the knowledge transfer and collaborative training. The final prediction is obtained by a voting result of two classifiers. Experimental results on three pneumonia databases demonstrate the effectiveness of our framework with diverse backbones.",,,https://doi.org/10.1007/978-3-030-87240-3_10,https://miccai2021.org/openaccess/paperlinks/2021/09/01/010-Paper0204.html
