Title,Authors,Session,Keywords,TL;DR,Abstract,Community Implementations,PDF,Paper Page
A Geometric Deep Learning Framework for Generation of Virtual Left Ventricles as Graphs,Soodeh Kalaie;Andrew J. Bulpitt;Alejandro F. Frangi;Ali Gooya,Oral,Attention;Generative modelling;Geometric Deep Learning;Graph Neural Networks;Shape matching;Virtual populations,,"Generative statistical models have a wide range of applications in the modelling of anatomies. In-silico clinical trials of medical devices, for instance, require the development of virtual populations of anatomy that capture enough variability while remaining plausible. Model construction and use are heavily influenced by the correspondence problem and establishing shape matching over a large number of training data.This study focuses on generating virtual cohorts of left ventricle geometries resembling different-sized shape populations, suitable for in-silico experiments. We present an unsupervised data-driven probabilistic generative model for shapes. This framework incorporates an attention-based shape matching procedure using graph neural networks, coupled with a $\beta-$VAE generation model, eliminating the need for initial shape correspondence. Left ventricle shapes derived from cardiac magnetic resonance images available in the UK Biobank are utilized for training and validating the framework. We investigate our method’s generative capabilities in terms of generalisation and specificity and show that it is able to synthesise virtual populations of realistic shapes with volumetric measurements in line with actual clinical indices. Moreover, results show our method outperforms joint registration-PCA-based models.",,https://openreview.net/pdf/03dd3a4d255695fc5b6f735146d35b85f72b6709.pdf,https://openreview.net/forum?id=Ao0D2HMB8P
Amortized Normalizing Flows for Transcranial Ultrasound with Uncertainty Quantification,Rafael Orozco;Mathias Louboutin;Ali Siahkoohi;Gabrio Rizzuti;Tristan van Leeuwen;Felix Johan Herrmann,Oral,Invertible Networks;Medical Imaging;Bayesian inference;Uncertainty estimation;Uncertainty quantification;Physics and Machine Learning Hybrid,,We present a novel approach to transcranial ultrasound computed tomography that utilizes normalizing flows to improve the speed of imaging and provide Bayesian uncertainty quantification. Our method combines physics-informed methods and data-driven methods to accelerate the reconstruction of the final image. We make use of a physics-informed summary statistic to incorporate the known ultrasound physics with the goal of compressing large incoming observations. This compression enables efficient training of the normalizing flow and standardizes the size of the data regardless of imaging configurations. The combinations of these methods results in fast uncertainty-aware image reconstruction that generalizes to a variety of transducer configurations. We evaluate our approach with in silico experiments and demonstrate that it can significantly improve the imaging speed while quantifying uncertainty. We validate the quality of our image reconstructions by comparing against the traditional physics-only method and also verify that our provided uncertainty is calibrated with the error.,,https://openreview.net/pdf/c8c9cf29b5987f7ae2413af5922b664ccec87f88.pdf,https://openreview.net/forum?id=LoJG-lUIlk
An end-to-end framework for diagnosing COVID-19 pneumonia via Parallel Recursive MLP module and Bi-LTSM correlation,Yiwen Liu;Wenyu Xing;Mingbo Zhao;MINGQUAN LIN,Oral,Pneumonia;end-to-end framework;multi-task learning;MLP-Bi-LSTM;deep learning,,"To fully extract the feature information of lung parenchyma in Chest X-ray images and realize the auxiliary diagnosis of COVID-19 pneumonia, this paper proposed an end-to-end deep learning model, which is mainly composed of object detection, depth feature generation, and multi-channel fusion classification. Firstly, the convolutional neural network (CNN) and region proposal network (RPN)-based object detection module was adopted to detect chest cavity region of interest (ROI). Then, according to the obtained coordinate information of ROI and the convolution feature map of original image, the new convolution feature maps of ROI were obtained with number of 13. By screening 4 representative feature maps form 4 convolution layers with different receptive fields and combining with original ROI image, the 5-dimensional (5D) feature maps were generated as the multi-channel input of classification module. Moreover, in each channel of classification module, three pyramidal recursive MLPs were employed to achieve cross-scale and cross-channel feature analysis. Finally, the correlation analysis of multi-channel output was realized by bi-directional long short memory (Bi-LSTM) module, and the auxiliary diagnosis of pneumonia disease was realized through fully connected layer and SoftMax function. Experimental results show that the proposed model has better classification performance and diagnosis effect than previous methods, with great clinical application potential.",,https://openreview.net/pdf/d6cb9cce44f6117f92e8b0d98a6b01a46e14ea45.pdf,https://openreview.net/forum?id=2cgTLIy1Zx
Bi-parametric prostate MR image synthesis using pathology and sequence-conditioned stable diffusion,Shaheer U. Saeed;Tom Syer;Wen Yan;Qianye Yang;Mark Emberton;Shonit Punwani;Matthew John Clarkson;Dean Barratt;Yipeng Hu,Oral,Stable Diffusion;Image Synthesis;MRI;Prostate.,"A stable-diffusion-based image synthesis mechanism for prostate MR synthesis conditioned on modality, cancer presence and images, for paired bi-parametric MR generation.","We propose an image synthesis mechanism for multi-sequence prostate MR images conditioned on text, to control lesion presence and sequence, as well as to generate paired bi-parametric images conditioned on images e.g. for generating diffusion-weighted MR from T2-weighted MR for paired data, which are two challenging tasks in pathological image synthesis. Our proposed mechanism utilises and builds upon the recent stable diffusion model by proposing image-based conditioning for paired data generation. We validate our method using 2D image slices from real suspected prostate cancer patients. The realism of the synthesised images is validated by means of a blind expert evaluation for identifying real versus fake images, where a radiologist with 4 years experience reading urological MR only achieves 59.4\% accuracy across all tested sequences (where chance is 50\%). For the first time, we evaluate the realism of the generated pathology by blind expert identification of the presence of suspected lesions, where we find that the clinician performs similarly for both real and synthesised images, with a 2.9 percentage point difference in lesion identification accuracy between real and synthesised images, demonstrating the potentials in radiological training purposes. Furthermore, we also show that a machine learning model, trained for lesion identification, shows better performance (76.2\% vs 70.4\%, statistically significant improvement) when trained with real data augmented by synthesised data as opposed to training with only real images, demonstrating usefulness for model training.",,https://openreview.net/pdf/e47768881d8300868293f8754bef0bc42ede7231.pdf,https://openreview.net/forum?id=3QnxUSzR7iu
CP2Image: Generating high-quality single-cell images using CellProfiler representations,Yanni Ji;Marie Cutiongco;Bjørn Sand Jensen;Ke Yuan,Oral,Image-based Profiling;Biological Interpretability;Variational Auto-Encoder,We propose the CP2Image model to generate high-quality single-cell images using CellProfiler representations.,"Single-cell high-throughput microscopy images contain key biological information underlying normal and pathological cellular processes. Image-based analysis and profiling are powerful and promising for extracting this information but are made difficult due to substantial complexity and heterogeneity in cellular phenotype. Hand-crafted methods and machine learning models are popular ways to extract cell image information. Representations extracted via machine learning models, which often exhibit good reconstruction performance, lack biological interpretability. Hand-crafted representations, on the contrary, have clear biological meanings and thus are interpretable. Whether these hand-crafted representations can also generate realistic images is not clear. In this paper, we propose a CellProfiler to image (CP2Image) model that can directly generate realistic cell images from CellProfiler representations. We also demonstrate most biological information encoded in the CellProfiler representations is well-preserved in the generating process. This is the first time hand-crafted representations be shown to have the generative ability and provide researchers with an intuitive way for their further analysis.",,https://openreview.net/pdf/3794d594888e565a1ce1f6415bac5e7e95e5a849.pdf,https://openreview.net/forum?id=4LqtcKZoKeB
Data Consistent Deep Rigid MRI Motion Correction,Nalini M Singh;Neel Dey;Malte Hoffmann;Bruce Fischl;Elfar Adalsteinsson;Robert Frost;Adrian V Dalca;Polina Golland,Oral,Motion Correction;MRI;Deep Learning;Hypernetworks;Data Consistency,Explicitly enforcing data consistency in deep learning-based rigid motion correction yields high fidelity reconstructions and rapid optimization of motion parameters.,"Motion artifacts are a pervasive problem in MRI, leading to misdiagnosis or mischaracterization in population-level imaging studies. Current retrospective rigid intra-slice motion correction techniques jointly optimize estimates of the image and the motion parameters. In this paper, we use a deep network to reduce the joint image-motion parameter search to a search over rigid motion parameters alone. Our network produces a reconstruction as a function of two inputs: corrupted k-space data and motion parameters. We train the network using simulated, motion-corrupted k-space data generated from known motion parameters. At test-time, we estimate unknown motion parameters by minimizing a data consistency loss between the motion parameters, the network-based image reconstruction given those parameters, and the acquired measurements. Intra-slice motion correction experiments on simulated and realistic 2D fast spin echo brain MRI achieve high reconstruction fidelity while retaining the benefits of explicit data consistency-based optimization.",https://www.catalyzex.com/paper/data-consistent-deep-rigid-mri-motion/code,https://openreview.net/pdf/55638146ab96bf8e37aebd94a4dc10d762839666.pdf,https://openreview.net/forum?id=KolMbwNBNGv
DBGDGM: Dynamic Brain Graph Deep Generative Model,Alexander Campbell;Simeon Emilov Spasov;Nicola Toschi;Pietro Lio,Oral,Dynamic graph;generative model;functional magnetic resonance imaging,A dynamic graph deep generative for modelling functional magnetic resonance imaging data,"Graphs are a natural representation of brain activity derived from functional magnetic imaging (fMRI) data. It is well known that clusters of anatomical brain regions, known as functional connectivity networks (FCNs), encode temporal relationships which can serve as useful biomarkers for understanding brain function and dysfunction. Previous works, however, ignore the temporal dynamics of the brain and focus on static graphs. In this paper, we propose a dynamic brain graph deep generative model (DBGDGM) which simultaneously clusters brain regions into temporally evolving communities and learns dynamic unsupervised node embeddings. Specifically, DBGDGM represents brain graph nodes as embeddings sampled from a distribution over communities that evolve over time. We parameterise this community distribution using neural networks that learn from subject and node embeddings as well as past community assignments. Experiments demonstrate DBGDGM outperforms baselines in graph generation, dynamic link prediction, and is comparable for graph classification. Finally, an analysis of the learnt community distributions reveals overlap with known FCNs reported in neuroscience literature. Code available at https://github.com/simeon-spasov/dynamic-brain-graph-deep-generative-model.",,https://openreview.net/pdf/58d626f33ce6e2e0e5ec962b1a083e9920f91dfc.pdf,https://openreview.net/forum?id=WHS3Zv9pxz
Decoding natural image stimuli from fMRI data with a surface-based convolutional network,Zijin Gu;Keith Jamison;Amy Kuceyeski;Mert R. Sabuncu,Oral,functional MRI;neural decoding;image reconstruction,We propose a novel approach to decode visual stimuli from fMRI with high semantic fidelity and rich fine-grained detail.,"Due to the low signal-to-noise ratio and limited resolution of functional MRI data, and the high complexity of natural images, reconstructing a visual stimulus from human brain fMRI measurements is a challenging task. In this work, we propose a novel approach for this task, which we call Cortex2Image, to decode visual stimuli with high semantic fidelity and rich fine-grained detail. In particular, we train a surface-based convolutional network model that maps from brain response to semantic image features first (Cortex2Semantic). 
We then combine this model with a high-quality image generator (Instance-Conditioned GAN) to train another mapping from brain response to fine-grained image features using a variational approach (Cortex2Detail). Image reconstructions obtained by our proposed method achieve state-of-the-art semantic fidelity, while yielding good fine-grained similarity with the ground-truth stimulus. Our code is available on \url{https://github.com/zijin-gu/meshconv-decoding.git}.",https://www.catalyzex.com/paper/decoding-natural-image-stimuli-from-fmri-data/code,https://openreview.net/pdf/79a78fdb58132118d50dcb3568e51ee01bca49d9.pdf,https://openreview.net/forum?id=V5vvti2Y9PA
DRIMET: Deep Registration-based 3D Incompressible Motion Estimation in Tagged-MRI with Application to the Tongue,Zhangxing Bian;Fangxu Xing;Jinglun Yu;Muhan Shao;Yihao Liu;Aaron Carass;Jonghye Woo;Jerry L Prince,Oral,Tagged MRI;incompressible;deep learning;registration;motion estimation;Jacobian determinant,,"Tagged magnetic resonance imaging (MRI) has been used for decades to observe and quantify the detailed motion of deforming tissue. However, this technique faces several challenges such as tag fading, large motion, long computation times, and difficulties in obtaining diffeomorphic incompressible flow fields. To address these issues, this paper presents a novel unsupervised phase-based 3D motion estimation technique for tagged MRI. We introduce two key innovations. First, we apply a sinusoidal transformation to the harmonic phase input, which enables end-to-end training and avoids the need for phase interpolation. Second, we propose a Jacobian determinant-based learning objective to encourage incompressible flow fields for deforming biological tissues.  Our method efficiently estimates 3D motion fields that are accurate, dense, and approximately diffeomorphic and incompressible. The efficacy of the method is assessed using human tongue motion during speech, and includes both healthy controls and patients that have undergone glossectomy. We show that the method outperforms existing approaches, and also exhibits improvements in speed, robustness to tag fading, and large tongue motion. The code is available.",,https://openreview.net/pdf/b64d1b9ae8ce0e60eedfbcb3cf7b07b8f876e59d.pdf,https://openreview.net/forum?id=jkSC4UHHVzy
E(3) x SO(3) - Equivariant Networks for Spherical Deconvolution in Diffusion MRI,Axel Elaldi;Guido Gerig;Neel Dey,Oral,Equivariance;Diffusion;MRI;fODF;Geometric Deep Learning;Spherical Deep Learning,We develop E(3)xSO(3) equivariant convolutional networks for better deconvolution of Diffusion MRI.,"We present Roto-Translation Equivariant Spherical Deconvolution (RT-ESD), an $E(3)\times SO(3)$ equivariant framework for sparse deconvolution of volumes where each voxel contains a spherical signal. Such 6D data naturally arises in diffusion MRI (dMRI), a medical imaging modality widely used to measure microstructure and structural connectivity. As each dMRI voxel is typically a mixture of various overlapping structures, there is a need for blind deconvolution to recover crossing anatomical structures such as white matter tracts. Existing dMRI work takes either an iterative or deep learning approach to sparse spherical deconvolution, yet it typically does not account for relationships between neighboring measurements. This work constructs equivariant deep learning layers which respect to symmetries of spatial rotations, reflections, and translations, alongside the symmetries of voxelwise spherical rotations. As a result, RT-ESD improves on previous work across several tasks including fiber recovery on the DiSCo dataset, deconvolution-derived partial volume estimation on real-world in vivo human brain dMRI, and improved downstream reconstruction of fiber tractograms on the Tractometer dataset. Our implementation is available at \url{https://github.com/AxelElaldi/e3so3_conv}.",,https://openreview.net/pdf/ef254aeccd7177afc23382bcbd89f741046b9132.pdf,https://openreview.net/forum?id=lri_iAbpn_r
