Title,Authors,Session,Keywords,TL;DR,Abstract,Community Implementations,PDF,Paper Page
A Deep Learning-Enabled Digital Twin Framework for Fast Online Adaptive Proton Therapy: A Validation Study in A Prostate SBRT Clinical Application,Chih-Wei Chang;Mojtaba Safari;Sri Sai Akkineni;Mingzhe Hu;Keyur D. Shah;Yuan Gao;Pretesh Patel;Ashesh Jani;Greeshma Agasthya;Jun Zhou;Xiaofeng Yang,Poster,Digital twins;VoxelMorph;deformable image registration;adaptive proton therapy;cone-beam CT;prostate SBRT;deep learning;medical image registration,,"Online adaptive radiotherapy offers substantial potential for improving treatment precision by accounting for daily anatomical variations, yet conventional replanning workflows remain time intensive and limit feasibility for hypofractionated treatments such as prostate stereotactic body radiation therapy (SBRT). This validation study demonstrates a deep learning enabled digital twin (DT) framework that leverages a VoxelMorph-based multi atlas deformable image registration pipeline to enable fast online adaptive proton therapy planning with dominant intraprostatic lesion (DIL) boost while achieving clinical equivalent plan quality with significantly reduced reoptimization time. The DT framework integrates deformable registration, daily cone beam CT (CBCT)-driven anatomical updates, and knowledge-based composite scoring functions, using an institutional database of 43 prostate SBRT patients with 210 CBCT scans totaling approximately 26,312 images to forecast interfractional variations and pre generate probabilistic treatment plans for new patients. Upon daily CBCT acquisition, the system enables rapid reoptimization using pre-computed plan conditions, and plan quality is evaluated using a ProKnow based scoring system that assesses target coverage and organ at risk sparing. Across all cases, the DT framework achieved an average reoptimization time of 5.5 ±2.7 minutes compared with 19.8 ± 11.9 minutes for clinical workflows, representing a 72 percent reduction, while producing optimal plans with a composite score of 157.2±5.6 compared with 153.8±6.0 for clinical plans. DT generated plans maintained high dosimetric quality, including DIL V100 of 99.5 percent ±0.6 percent, CTV V100 of 99.8 percent ±0.2 percent, and comparable sparing of organs at risk, such as bladder V20.8Gy of 11.4 ± 4.2 cm3 , rectum V23Gy of 0.7 ± 0.4 cm3 , and urethra D10 of 90.9 percent ±2.3 percent. These results demonstrate that deep learning enabled digital twins can substantially accelerate online adaptive proton therapy while preserving or enhancing plan quality, providing a clinically feasible pathway toward real time personalized radiotherapy for prostate SBRT with DIL boost.",,https://openreview.net/pdf/127b5649b2d9c7ed5bf3e85a8f5be1a17bfa8d0d.pdf,https://openreview.net/forum?id=jPtvQa93uX
A Diffusion-Driven Fine-Grained Nodule Synthesis Framework for Enhanced Lung Nodule Detection from Chest Radiographs,Shreshtha Singh;Aryan Goyal;Ashish Mittal;Manoj tadepalli;Piyush Kumar;Preetham Putha,Poster,Lung Nodule Synthesis;Chest Radiograph;Diffusion Models;LoRA;LoRA Merging,"We build a diffusion–LoRA system that generates fine-grained, controllable lung nodules on CXRs and boosts downstream detection.","Early detection of lung cancer in chest radiographs (CXRs) is crucial for improving patient outcomes, yet nodule detection remains challenging due to their subtle appearance and variability in radiological characteristics like size, texture, and boundary. For robust analysis, this diversity must be well represented in training datasets for deep learning based Computer-Assisted Diagnosis (CAD) systems. However, assembling such datasets is costly and often impractical, motivating the need for realistic synthetic data generation. Existing methods lack fine-grained control over synthetic nodule generation, limiting their utility in addressing data scarcity. This paper proposes a novel diffusion-based framework with low-rank adaptation (LoRA) adapters for characteristic controlled nodule synthesis on CXRs. We begin by addressing size and shape control through nodule mask conditioned training of the base diffusion model. To achieve individual characteristic control, we train separate LoRA modules, each dedicated to a specific radiological feature. However, since nodules rarely exhibit isolated characteristics, effective multi-characteristic control requires a balanced integration of features. We address this by leveraging the dynamic composability of LoRAs and revisiting existing merging strategies. Building on this, we identify two key issues: overlapping attention regions and non-orthogonal parameter spaces. To overcome these limitations, we introduce a novel orthogonality loss term during LoRA composition training.
Extensive experiments on both in-house and public datasets demonstrate improved downstream nodule detection. 
Radiologist evaluations confirm the fine-grained controllability of our generated nodules, and across multiple quantitative metrics, our method surpasses existing nodule generation approaches for CXRs.",,https://openreview.net/pdf/1af8ab02ed6c3a3edf9ef68b07fa7f880b886849.pdf,https://openreview.net/forum?id=7DL7cu8Ui8
A Multi-Scale Inception-UNet with Structure-Aware Evaluation for Branch-Preserving Segmentation of Organoids,Sandra H. Andrusca;Christopher D. Kießling;Andreas R. Bausch,Poster,semantic segmentation;organoid imaging;PDAC;multi-scale architectures;UNet;topology preservation;topology-aware loss;clDice;brightfield microscopy;multi-seed evaluation;branch morphology,"We propose a multi-scale Inception-UNet for segmenting complex branched organoids and demonstrate statistically significant improvements over classical UNet-based architectures, particularly in preserving structural continuity.","Branched organoids exhibit increasingly complex morphologies as they progress from simple
spheroid states to highly ramified structures, making topology-preserving segmentation
essential for quantitative biological analysis. Capturing thin protrusions and maintaining
branch continuity remains challenging for classical UNet-based architectures, particularly
in brightfield imaging where fine structures are easily blurred or disconnected.
In this work, we present a multi-scale Inception-UNet designed to capture the het-
erogeneous spatial scales of branched organoids through parallel convolutional paths with
complementary receptive fields. As a model system, we analyze brightfield pancreatic duc-
tal adenocarcinoma (PDAC) organoids, a system known for strong morphological hetero-
geneity and invasive branching behavior (Randriamanantsoa, 2022), cultured using high-
throughput Patternoid assays (Kurzbach, 2025) that enable standardized imaging and ro-
bust quantitative analysis.
To assess segmentation quality beyond region overlap, we combine Dice with the
structure-aware clDice metric that directly probes branch integrity and topological conti-
nuity. Across deterministic seeds and strictly separated organoid positions, the Inception-
UNet achieves the highest region-based Dice (0.868 ± 0.062) and clDice (0.545 ± 0.123), and
most importantly, the strongest preservation of branch continuity compared to UNet and
UNet++. These improvements become increasingly pronounced with growing morpholog-
ical complexity.
Overall, our results demonstrate that multi-scale feature extraction combined with
topology-aware evaluation substantially improves segmentation of branched organoids and
provides a robust foundation for downstream morphological and invasion-related analyses.",,https://openreview.net/pdf/19d86bfc74a250b63e9031c8a24c5e946d1787d5.pdf,https://openreview.net/forum?id=DfYWxtDCTt
A Pragmatic Note on Evaluating Generative Models with Fréchet Inception Distance for Retinal Image Synthesis,Yuli Wu;Fucheng Liu;Rüveyda Yilmaz;Henning Konermann;Peter Walter;Johannes Stegmaier,Poster,FID;Generative models;Retinal imaging,Use downstream task performance rather than FID when evaluating biomedical generative models.,"Fréchet Inception Distance (FID), computed with an ImageNet pretrained Inception-v3 network, is widely used as a state-of-the-art evaluation metric for generative models. It assumes that feature vectors from Inception-v3 follow a multivariate Gaussian distribution and calculates the 2-Wasserstein distance based on their means and covariances. While FID effectively measures how closely synthetic data match real data in many image synthesis tasks, the primary goal in biomedical generative models is often to enrich training datasets ideally with corresponding annotations. For this purpose, the gold standard for evaluating generative models is to incorporate synthetic data into downstream task training, such as classification and segmentation, to pragmatically assess its performance. In this paper, we examine cases from retinal imaging modalities, including color fundus photography and optical coherence tomography, where FID and its related metrics misalign with task-specific evaluation goals in classification and segmentation. We highlight the limitations of using various metrics, represented by FID and its variants, as evaluation criteria for these applications and address their potential caveats in broader biomedical imaging modalities and downstream tasks.",,https://openreview.net/pdf/ef9f01535fb2ad97d891bfef2657679e9a808a5d.pdf,https://openreview.net/forum?id=NabZo8HWuh
A Simple yet Effective Adaptive Inter-organ Contrastive Learning Framework for Unsupervised Domain Adaptation,Yiyou Sun;Zheyao Gao;Xiaogen Zhou;Qi Dou;Winnie Chiu Wing Chu,Poster,Unsupervised Domain Adaptation;Multi-organ Segmentation,,"Strong unsupervised domain adaptation (UDA) in multi-organ segmentation seeks to unify complementary information from heterogeneous imaging protocols within a single model without sacrificing source-modality performance, yet the substantial domain gap between modalities makes feature-level alignment non-trivial. Pseudo-label learning (PLL) has emerged as the dominant paradigm, but it suffers from information loss due to hard thresholding and bias introduced by class imbalance and noisy predictions. Contrastive learning (CL) offers a complementary direction by structuring semantic constrast, yet existing voxel-level formulations incur prohibitive computational costs on volumetric data and fail to capture the global anatomical context critical for organ segmentation. In this work, we propose Adaptive Inter-organ Contrastive Learning (AICL), a unified UDA framework for 3D multi-organ cross-modality segmentation that exploits PPL and CL synergistically to facilitate better cross-modality feature alignment. AICL employs dynamic soft pseudo-labels as guidance in the feature latent space to organize for inter-organ samples as positive-negative pairs for CL. Meanwhile, the model is trained with supervised consistency learning (SCL) using mixed ground truths and pseudo-labels, promoting a more discriminative and compact shared latent space. Extensive experiments and ablation studies on an orbital and a cardiac dataset reveal the effectiveness of each component and a significant advancement in segmentation results.",,https://openreview.net/pdf/dae68bdadf815f59226f3bd223e25fd6f5e81b70.pdf,https://openreview.net/forum?id=Pt0b9bOgzR
A Tool Bottleneck Framework for Clinically-Informed and Interpretable Medical Image Understanding,Christina Liu;Alan Q. Wang;Joy Hsu;Jiajun Wu;Ehsan Adeli,Poster,Tool use;domain knowledge;interpretability;data-efficiency,,"Recent tool-use frameworks powered by vision-language models (VLMs) improve image understanding by grounding model predictions with specialized tools. Broadly, these frameworks leverage VLMs and a pre-specified toolbox to decompose the prediction task into multiple tool calls (often deep learning models) which are composed to make a prediction. The dominant approach to composing tools is using text, via function calls embedded in VLM-generated code or natural language. However, these methods often perform poorly on medical image understanding, where salient information is encoded as spatially-localized features that are difficult to compose or fuse via text alone. To address this, we propose a tool-use framework for medical image understanding called the Tool Bottleneck Framework (TBF), which composes VLM-selected tools using a learned Tool Bottleneck Model (TBM). For a given image and task, TBF leverages an off-the-shelf medical VLM to select tools from a toolbox that each extract clinically-relevant features. Instead of text-based composition, these tools are composed by the TBM, which computes and fuses the tool outputs using a neural network before outputting the final prediction. We propose a simple and effective strategy for TBMs to make predictions with any arbitrary VLM tool selection. Overall, our framework not only improves tool-use in medical imaging contexts, but also yields more interpretable, clinically-grounded predictors. We evaluate TBF on tasks in histopathology and dermatology and find that these advantages enable our framework to perform on par with or better than deep learning-based classifiers, VLMs, and state-of-the-art tool-use frameworks, with particular gains in data-limited regimes.",,https://openreview.net/pdf/2c0c297dac8ff01b489063537382bdbeb826110d.pdf,https://openreview.net/forum?id=85xM5uJJ7C
A-ADAPT: Adaptive Intracranial Artery Segmentation with Morphology-Guided Prompts and Difficulty-Aware Learning,Zhiwei Tan;Xin Wang;Meng Wang;Zixuan Liu;Yin Guo;Jiamin Xia;Niranjan Balu;Linda Shapiro;Chun Yuan;Mahmud Mossa-Basha,Poster,CTA;MRA;Intracranial artery segmentation;automatic prompt;SAM,,"Accurate segmentation of intracranial arteries in CTA and MRA is essential for cerebrovascular analysis but remains challenging due to fine-scale artery morphology, modality-dependent appearance, and frequent structural discontinuities. Existing CNN or Transformer based models struggle to generalize across modalities, while SAM-based methods rely heavily on manually provided prompts and often fail to preserve thin or low-contrast arteries.
We propose A-ADAPT, an adaptive intracranial artery segmentation framework that enhances SAM with modality-aware representation learning, automatic morphology-guided prompting, and difficulty-aware optimization. First, a Cross-Modality Task Adapter (CMTA) aligns CTA and MRA feature distributions while preserving shared vascular characteristics. The Frequency Adapter (FA) and the Tubular Morphology Adapter(TMA) work together to refine artery representation by enhancing structural detail and highlighting the continuity of tubular anatomy. To eliminate dependence on manual prompts, we introduce an Automatic Directional Morphology Prompt Encoder (AutoDM-Prompt), which generates artery-aware prompts directly from the input image. Additionally, a difficulty-aware loss dynamically upweights uncertain or discontinuity-prone regions, enabling the model to better recover small branches and reduce false positives.
Experiments on CTA and MRA datasets show that A-ADAPT achieves higher accuracy, and better structural continuity compared to several state-of-the-art methods. We release our code at: https://github.com/VV1111/A-ADAPT.",,https://openreview.net/pdf/918d3bba5916f5760d51a9fc86d1a58b1476593f.pdf,https://openreview.net/forum?id=agl53YANB6
AdaFuse: Adaptive Multimodal Fusion for Lung Cancer Risk Prediction via Reinforcement Learning,Chongyu Qu;Zhengyi Lu;Yuxiang Lai;Thomas Li;Junchao Zhu;Junlin Guo;Juming Xiong;Yanfan Zhu;Yuechen Yang;Allen Luna;Kim Lori Sandler;Bennett Allan Landman;Yuankai Huo,Poster,Reinforcement Learning;Multimodal Fusion;Risk Prediction,,"Multimodal fusion has emerged as a promising paradigm for disease diagnosis and prognosis, integrating complementary information from heterogeneous data sources such as medical images, clinical records, and radiology reports. However, existing fusion methods process all available modalities through the network, either treating them equally or learning to assign different contribution weights, leaving a fundamental question unaddressed: **for a given patient, should certain modalities be used at all?** We present AdaFuse, an adaptive multimodal fusion framework that leverages reinforcement learning (RL) to learn patient-specific modality selection and fusion strategies for lung cancer risk prediction. AdaFuse formulates multimodal fusion as a sequential decision process, where the policy network iteratively decides whether to incorporate an additional modality or proceed to prediction based on the information already acquired. This sequential formulation enables the model to condition each selection on previously observed modalities and terminate early when sufficient information is available, rather than committing to a fixed subset upfront. We evaluate AdaFuse on the National Lung Screening Trial (NLST) dataset. Experimental results demonstrate that AdaFuse (0.762 AUC) outperforms both the best single-modality baseline (0.732 AUC) and the best fixed fusion strategy (0.759). Our work demonstrates the potential of reinforcement learning for personalized multimodal fusion in medical imaging, representing a shift from uniform fusion strategies toward adaptive diagnostic pipelines that learn when to consult additional modalities and when existing information suffices for accurate prediction.",,https://openreview.net/pdf/3f6b6733b3d06c61618f280453dc07e35b399d25.pdf,https://openreview.net/forum?id=vir6Zq4EIQ
Adaptive Inference for Medical Vision Transformers: Token Reduction or Early Exit?,Ji Young Byun;Hyun Seo Lee;Jordan M Shuff;Nakul S. Shekhawat;Kunal S Parikh;Rama Chellappa,Poster,Vision Transformers;Efficient Inference;Adaptive Computation;Token Reduction;Early Exit,,"Vision Transformers (ViTs) have demonstrated exceptional performance in medical image analysis, yet their computational demands hinder clinical deployment, particularly in time-sensitive applications. Medical imaging requires sample-adaptive optimization due to dataset heterogeneity across modalities and sample complexity; uniform strategies do not well balance efficiency and accuracy. We propose a unified adaptive inference framework that combines Token Reduction (TR) and Early Exiting (EE) through dataset-specific profiling. Our approach quantifies spatial redundancy via Jensen-Shannon Divergence (JSD) and prediction confidence at intermediate layers to train a lightweight predictor that dynamically selects inference strategies at test time. Across five medical datasets, including a real-world cataract dataset (INSIGHT), our framework achieves 71.4% average floating-point operations per second (FLOPs) reduction with only 0.1pp accuracy loss, substantially outperforming individual strategies (EE-only: 55.9%, TR-only: 57.7%). On PathMNIST, our adaptive inference framework simultaneously improves accuracy by 1.3pp while reducing computation by 77.2%. On INSIGHT, we maintain baseline accuracy with 69.8% FLOPs reduction, demonstrating robust real-world clinical applicability.",,https://openreview.net/pdf/b3ef6c2b3a2c30f0d620017bbed8fba8dfa9b9fc.pdf,https://openreview.net/forum?id=JyJsaVDzOl
AdvDINO: Domain-Adversarial Self-Supervised Representation Learning for Spatial Proteomics,Stella Su;Marc Harary;Scott Rodig;William Lotter,Poster,spatial proteomics;self-supervised learning;domain shift;adversarial learning,,"Self-supervised learning (SSL) has emerged as a powerful approach for learning visual representations without manual annotations. However, the robustness of standard SSL methods to domain shift—systematic differences across data sources—remains uncertain, posing an especially critical challenge in biomedical imaging where batch effects can obscure true biological signals. We present AdvDINO, a domain-adversarial SSL framework that integrates a gradient reversal layer into the DINOv2 architecture to promote domain-invariant feature learning. Applied to a real-world cohort of six-channel multiplex immunofluorescence (mIF) whole slide images from lung cancer patients, AdvDINO mitigates slide-specific biases to learn more robust and biologically meaningful representations than non-adversarial baselines. Across more than 5.46 million mIF image tiles, the model uncovers phenotype clusters with differing proteomic profiles and prognostic significance, and enables strong survival prediction performance via attention-based multiple instance learning. The improved robustness also extends to a breast cancer cohort. While demonstrated on mIF data, AdvDINO is broadly applicable to other medical imaging domains, where domain shift is a common challenge.",,https://openreview.net/pdf/67e8f10d9cfa15e3c1e66d132f88fe629c1d9751.pdf,https://openreview.net/forum?id=R3vQq4DQ23
